Date,GS3,GS1,GS10,GS5,GS3M,GS6M
01/09/1994,6.690000057,5.760000229,7.460000038,7.079999924,4.75,5.239999771
01/10/1994,7.039999962,6.110000134,7.739999771,7.400000095,5.099999905,5.619999886
01/11/1994,7.440000057,6.539999962,7.960000038,7.71999979,5.449999809,5.980000019
01/12/1994,7.710000038,7.139999866,7.809999943,7.78000021,5.760000229,6.5
01/01/1995,7.659999847,7.050000191,7.78000021,7.760000229,5.900000095,6.510000229
01/02/1995,7.25,6.699999809,7.46999979,7.369999886,5.940000057,6.309999943
01/03/1995,6.889999866,6.429999828,7.199999809,7.050000191,5.909999847,6.170000076
01/04/1995,6.679999828,6.269999981,7.059999943,6.860000134,5.840000153,6.050000191
01/05/1995,6.269999981,6,6.630000114,6.409999847,5.849999905,5.929999828
01/06/1995,5.800000191,5.639999866,6.170000076,5.929999828,5.639999866,5.659999847
01/07/1995,5.889999866,5.590000153,6.28000021,6.010000229,5.590000153,5.619999886
01/08/1995,6.099999905,5.75,6.489999771,6.239999771,5.570000172,5.650000095
01/09/1995,5.889999866,5.619999886,6.199999809,6,5.429999828,5.539999962
01/10/1995,5.769999981,5.590000153,6.039999962,5.860000134,5.440000057,5.559999943
01/11/1995,5.570000172,5.429999828,5.929999828,5.690000057,5.519999981,5.510000229
01/12/1995,5.389999866,5.309999943,5.710000038,5.510000229,5.289999962,5.349999905
01/01/1996,5.199999809,5.090000153,5.650000095,5.360000134,5.150000095,5.130000114
01/02/1996,5.139999866,4.940000057,5.809999943,5.380000114,4.960000038,4.96999979
01/03/1996,5.789999962,5.340000153,6.269999981,5.96999979,5.099999905,5.159999847
01/04/1996,6.110000134,5.539999962,6.510000229,6.300000191,5.090000153,5.269999981
01/05/1996,6.269999981,5.639999866,6.739999771,6.480000019,5.150000095,5.329999924
01/06/1996,6.489999771,5.809999943,6.909999847,6.690000057,5.230000019,5.460000038
01/07/1996,6.449999809,5.849999905,6.869999886,6.639999866,5.300000191,5.519999981
01/08/1996,6.210000038,5.670000076,6.639999866,6.389999866,5.190000057,5.340000153
01/09/1996,6.409999847,5.829999924,6.829999924,6.599999905,5.239999771,5.449999809
01/10/1996,6.079999924,5.550000191,6.53000021,6.269999981,5.119999886,5.320000172
01/11/1996,5.820000172,5.420000076,6.199999809,5.96999979,5.170000076,5.269999981
01/12/1996,5.909999847,5.46999979,6.300000191,6.070000172,5.039999962,5.239999771
01/01/1997,6.159999847,5.610000134,6.579999924,6.329999924,5.170000076,5.309999943
01/02/1997,6.03000021,5.53000021,6.420000076,6.199999809,5.139999866,5.269999981
01/03/1997,6.380000114,5.800000191,6.690000057,6.539999962,5.28000021,5.480000019
01/04/1997,6.610000134,5.989999771,6.889999866,6.760000229,5.300000191,5.599999905
01/05/1997,6.420000076,5.869999886,6.710000038,6.570000172,5.199999809,5.53000021
01/06/1997,6.239999771,5.690000057,6.489999771,6.380000114,5.070000172,5.340000153
01/07/1997,6,5.539999962,6.21999979,6.119999886,5.190000057,5.329999924
01/08/1997,6.059999943,5.559999943,6.300000191,6.159999847,5.28000021,5.400000095
01/09/1997,5.980000019,5.519999981,6.210000038,6.110000134,5.079999924,5.300000191
01/10/1997,5.840000153,5.460000038,6.03000021,5.929999828,5.110000134,5.300000191
01/11/1997,5.760000229,5.460000038,5.880000114,5.800000191,5.28000021,5.380000114
01/12/1997,5.739999771,5.53000021,5.809999943,5.769999981,5.300000191,5.449999809
01/01/1998,5.380000114,5.239999771,5.539999962,5.420000076,5.179999828,5.230000019
01/02/1998,5.429999828,5.309999943,5.570000172,5.489999771,5.230000019,5.269999981
01/03/1998,5.570000172,5.389999866,5.650000095,5.610000134,5.159999847,5.25
01/04/1998,5.579999924,5.380000114,5.639999866,5.610000134,5.079999924,5.260000229
01/05/1998,5.610000134,5.440000057,5.650000095,5.630000114,5.139999866,5.360000134
01/06/1998,5.519999981,5.409999847,5.5,5.519999981,5.119999886,5.320000172
01/07/1998,5.46999979,5.360000134,5.460000038,5.460000038,5.090000153,5.230000019
01/08/1998,5.239999771,5.210000038,5.340000153,5.269999981,5.039999962,5.150000095
01/09/1998,4.619999886,4.710000038,4.809999943,4.619999886,4.739999771,4.809999943
01/10/1998,4.179999828,4.119999886,4.53000021,4.179999828,4.070000172,4.199999809
01/11/1998,4.570000172,4.53000021,4.829999924,4.539999962,4.53000021,4.590000153
01/12/1998,4.480000019,4.519999981,4.650000095,4.449999809,4.5,4.570000172
01/01/1999,4.610000134,4.510000229,4.71999979,4.599999905,4.449999809,4.489999771
01/02/1999,4.900000095,4.699999809,5,4.909999847,4.559999943,4.610000134
01/03/1999,5.110000134,4.78000021,5.230000019,5.139999866,4.570000172,4.650000095
01/04/1999,5.03000021,4.690000057,5.179999828,5.079999924,4.409999847,4.539999962
01/05/1999,5.329999924,4.849999905,5.539999962,5.440000057,4.630000114,4.75
01/06/1999,5.699999809,5.099999905,5.900000095,5.809999943,4.71999979,5.03000021
01/07/1999,5.619999886,5.03000021,5.789999962,5.679999828,4.690000057,4.75
01/08/1999,5.769999981,5.199999809,5.940000057,5.840000153,4.869999886,5.090000153
01/09/1999,5.75,5.25,5.920000076,5.800000191,4.820000172,5.079999924
01/10/1999,5.940000057,5.429999828,6.110000134,6.03000021,5.019999981,5.199999809
01/11/1999,5.920000076,5.550000191,6.03000021,5.96999979,5.230000019,5.429999828
01/12/1999,6.139999866,5.840000153,6.28000021,6.190000057,5.360000134,5.679999828
01/01/2000,6.489999771,6.119999886,6.659999847,6.579999924,5.5,5.760000229
01/02/2000,6.650000095,6.21999979,6.519999981,6.679999828,5.730000019,6
01/03/2000,6.53000021,6.21999979,6.260000229,6.5,5.860000134,6.110000134
01/04/2000,6.360000134,6.150000095,5.989999771,6.260000229,5.820000172,6.070000172
01/05/2000,6.769999981,6.329999924,6.440000057,6.690000057,5.989999771,6.389999866
01/06/2000,6.429999828,6.170000076,6.099999905,6.300000191,5.860000134,6.239999771
01/07/2000,6.28000021,6.079999924,6.050000191,6.179999828,6.139999866,6.269999981
01/08/2000,6.170000076,6.179999828,5.829999924,6.059999943,6.28000021,6.349999905
01/09/2000,6.019999981,6.130000114,5.800000191,5.929999828,6.179999828,6.25
01/10/2000,5.849999905,6.010000229,5.739999771,5.78000021,6.289999962,6.320000172
01/11/2000,5.789999962,6.090000153,5.71999979,5.699999809,6.360000134,6.340000153
01/12/2000,5.260000229,5.599999905,5.239999771,5.170000076,5.940000057,5.920000076
01/01/2001,4.769999981,4.809999943,5.159999847,4.860000134,5.289999962,5.150000095
01/02/2001,4.710000038,4.679999828,5.099999905,4.889999866,5.010000229,4.889999866
01/03/2001,4.429999828,4.300000191,4.889999866,4.639999866,4.539999962,4.440000057
